column_name,data_type,description,allowed_values_or_notes
respondent_id,string,Unique synthetic respondent ID,MM100001+
latent_persona,categorical,Hidden consumer archetype used to generate correlated responses,"Budget Student Snacker, Office Lunch Professional, Health-Focused Urban User, Comfort-Food Convenience Seeker, Premium Fitness Buyer, Family/Group Orderer, Low-Frequency Traditional Buyer"
age_group,categorical,Age Group,Survey response categories
gender,categorical,Gender,Survey response categories
city_tier,categorical,City Tier,Survey response categories
occupation,categorical,Occupation,Survey response categories
monthly_income_range,categorical,Monthly Income Range,Survey response categories
daily_lifestyle,categorical,Daily Lifestyle,Survey response categories
order_frequency_weekly,categorical,Order Frequency Weekly,Survey response categories
most_ordered_meal_time,categorical,Most Ordered Meal Time,Survey response categories
hardest_meal_to_manage,categorical,Hardest Meal To Manage,Survey response categories
who_do_you_order_for,categorical,Who Do You Order For,Survey response categories
food_preference,categorical,Food Preference,Survey response categories
preferred_cuisines,multi-select text,Multi-select survey response stored as comma-separated values,See corresponding questionnaire options
preferred_moodmeal_categories,multi-select text,Multi-select survey response stored as comma-separated values,See corresponding questionnaire options
taste_profile,categorical,Taste Profile,Survey response categories
preferred_meal_experience,multi-select text,Multi-select survey response stored as comma-separated values,See corresponding questionnaire options
meal_dislikes,multi-select text,Multi-select survey response stored as comma-separated values,See corresponding questionnaire options
ordering_reasons,multi-select text,Multi-select survey response stored as comma-separated values,See corresponding questionnaire options
biggest_frustration,categorical,Biggest Frustration,Survey response categories
decision_factors,multi-select text,Multi-select survey response stored as comma-separated values,See corresponding questionnaire options
personalization_preferences,multi-select text,Multi-select survey response stored as comma-separated values,See corresponding questionnaire options
personalized_meal_use_cases,multi-select text,Multi-select survey response stored as comma-separated values,See corresponding questionnaire options
trust_triggers,multi-select text,Multi-select survey response stored as comma-separated values,See corresponding questionnaire options
avg_spend_per_order,categorical,Avg Spend Per Order,Survey response categories
comfortable_price_range,categorical,Comfortable Price Range,Survey response categories
moodmeal_interest,categorical,Moodmeal Interest,Survey response categories
avg_order_value_numeric,numeric,Approximate numeric average order value derived from spend band,Synthetic continuous value
monthly_food_budget_numeric,numeric,Approximate numeric monthly outside-food budget derived from behavior,Synthetic continuous value
comfortable_price_numeric,numeric,Approximate numeric willingness-to-pay value derived from price band,Synthetic continuous value
age_group_ord,ordinal integer,Ordinal encoding of age_group,Encoded from ordered response bands
city_tier_ord,ordinal integer,Ordinal encoding of city_tier,Encoded from ordered response bands
monthly_income_range_ord,ordinal integer,Ordinal encoding of monthly_income_range,Encoded from ordered response bands
order_frequency_weekly_ord,ordinal integer,Ordinal encoding of order_frequency_weekly,Encoded from ordered response bands
avg_spend_per_order_ord,ordinal integer,Ordinal encoding of avg_spend_per_order,Encoded from ordered response bands
comfortable_price_range_ord,ordinal integer,Ordinal encoding of comfortable_price_range,Encoded from ordered response bands
moodmeal_interest_ord,ordinal integer,Ordinal encoding of moodmeal_interest,Encoded from ordered response bands
gender__male,binary 0/1,One-hot indicator for gender: male,"1 if selected/matched, else 0"
gender__female,binary 0/1,One-hot indicator for gender: female,"1 if selected/matched, else 0"
gender__non_binary_prefer_not_to_say,binary 0/1,One-hot indicator for gender: non_binary_prefer_not_to_say,"1 if selected/matched, else 0"
gender__other,binary 0/1,One-hot indicator for gender: other,"1 if selected/matched, else 0"
occupation__student,binary 0/1,One-hot indicator for occupation: student,"1 if selected/matched, else 0"
occupation__salaried_professional,binary 0/1,One-hot indicator for occupation: salaried_professional,"1 if selected/matched, else 0"
occupation__self_employed_business_owner,binary 0/1,One-hot indicator for occupation: self_employed_business_owner,"1 if selected/matched, else 0"
occupation__freelancer,binary 0/1,One-hot indicator for occupation: freelancer,"1 if selected/matched, else 0"
occupation__homemaker,binary 0/1,One-hot indicator for occupation: homemaker,"1 if selected/matched, else 0"
occupation__retired,binary 0/1,One-hot indicator for occupation: retired,"1 if selected/matched, else 0"
occupation__other,binary 0/1,One-hot indicator for occupation: other,"1 if selected/matched, else 0"
daily_lifestyle__mostly_at_home,binary 0/1,One-hot indicator for daily_lifestyle: mostly_at_home,"1 if selected/matched, else 0"
daily_lifestyle__college_student_routine,binary 0/1,One-hot indicator for daily_lifestyle: college_student_routine,"1 if selected/matched, else 0"
daily_lifestyle__office_based_routine,binary 0/1,One-hot indicator for daily_lifestyle: office_based_routine,"1 if selected/matched, else 0"
daily_lifestyle__hybrid_work_study_routine,binary 0/1,One-hot indicator for daily_lifestyle: hybrid_work_study_routine,"1 if selected/matched, else 0"
daily_lifestyle__frequently_travelling_field_based,binary 0/1,One-hot indicator for daily_lifestyle: frequently_travelling_field_based,"1 if selected/matched, else 0"
daily_lifestyle__irregular_schedule,binary 0/1,One-hot indicator for daily_lifestyle: irregular_schedule,"1 if selected/matched, else 0"
most_ordered_meal_time__breakfast,binary 0/1,One-hot indicator for most_ordered_meal_time: breakfast,"1 if selected/matched, else 0"
most_ordered_meal_time__mid_morning_snack,binary 0/1,One-hot indicator for most_ordered_meal_time: mid_morning_snack,"1 if selected/matched, else 0"
most_ordered_meal_time__lunch,binary 0/1,One-hot indicator for most_ordered_meal_time: lunch,"1 if selected/matched, else 0"
most_ordered_meal_time__evening_snack,binary 0/1,One-hot indicator for most_ordered_meal_time: evening_snack,"1 if selected/matched, else 0"
most_ordered_meal_time__dinner,binary 0/1,One-hot indicator for most_ordered_meal_time: dinner,"1 if selected/matched, else 0"
most_ordered_meal_time__late_night,binary 0/1,One-hot indicator for most_ordered_meal_time: late_night,"1 if selected/matched, else 0"
hardest_meal_to_manage__breakfast,binary 0/1,One-hot indicator for hardest_meal_to_manage: breakfast,"1 if selected/matched, else 0"
hardest_meal_to_manage__lunch,binary 0/1,One-hot indicator for hardest_meal_to_manage: lunch,"1 if selected/matched, else 0"
hardest_meal_to_manage__evening_snacks,binary 0/1,One-hot indicator for hardest_meal_to_manage: evening_snacks,"1 if selected/matched, else 0"
hardest_meal_to_manage__dinner,binary 0/1,One-hot indicator for hardest_meal_to_manage: dinner,"1 if selected/matched, else 0"
hardest_meal_to_manage__late_night_hunger,binary 0/1,One-hot indicator for hardest_meal_to_manage: late_night_hunger,"1 if selected/matched, else 0"
hardest_meal_to_manage__i_usually_manage_all_meals_well,binary 0/1,One-hot indicator for hardest_meal_to_manage: i_usually_manage_all_meals_well,"1 if selected/matched, else 0"
who_do_you_order_for__only_myself,binary 0/1,One-hot indicator for who_do_you_order_for: only_myself,"1 if selected/matched, else 0"
who_do_you_order_for__myself_and_one_other_person,binary 0/1,One-hot indicator for who_do_you_order_for: myself_and_one_other_person,"1 if selected/matched, else 0"
